0077 FSR_0515               0.8455  54.765 122.823  -8.110  0.012  0.051  0.085  -4.27  -2.34   0.55  999.99   99.99     0     2     19     33   2362.  0.416 12.000  0.200  0.133  0.000  9.275  0.000  -1    1.12    0.21    7.25    1.32    6.72    0.90 FPOS       99.999  9.990   0
0078 FSR_0516               0.8425  65.965 122.837   3.090  0.018  0.085  0.170  -1.80  -0.45   0.58  999.99   99.99     0     2     16     65    810.  2.040 10.199  0.980  0.654  0.050  8.830  0.052   4    1.54    0.33    4.83    0.78   15.03    3.15 DIAS irc   99.999  9.990   0
0079 King_2                 0.8488  58.201 122.859  -4.674  0.020  0.050  0.100  -1.71  -0.08   0.60 -144.25    5.92     7     2     15     53   5499.  0.300 13.798  0.144  0.096  0.000  9.670  0.000  -1    4.27    1.34   12.16    2.62    0.92    0.31 DIAS       -0.420  0.090   7
0080 FSR_0518          mo   0.8540  44.285 122.888 -18.590  0.020  0.100  0.200  -8.85  -6.05   0.76  999.99   99.99     0     1     13     25   2154.  0.104 11.700  0.050  0.033  0.000  9.415  0.001   2    1.46    0.60   11.10    4.73    1.45    0.39 FPOS       99.999  9.990   0
0081 Cas_OB7           ao   0.8310  64.140 122.755   1.266  0.040  0.160  0.270  -0.35   0.94   0.31  -50.00    3.00     4     6     70    176   2600.  2.101 12.751  1.009  0.673  0.100  7.700  0.000  -1   12.26    2.99   20.29    2.27    1.67    0.81 MELN ass   99.999  9.990   0
0083 FSR_0519               0.8748  64.667 123.040   1.792  0.020  0.060  0.140   0.03   2.47   0.35  999.99   99.99     0     5     26     95   1517.  0.697 11.129  0.335  0.223  0.000  7.350  0.000  -1    0.55    0.15    6.33    1.81   14.93    3.53 DIAS irc   99.999  9.990   0
0084 NGC_288           go   0.8795 -26.585 151.377 -89.386  0.050  0.160  0.310   8.59  -8.74   0.53  -45.40    0.20     0     5     27     31   8912.  0.031 14.760  0.015  0.010  0.020 10.100  0.000  -1    2.97    0.65   56.36   13.63    0.91    0.22 HARR glo   -1.150  9.990  27
0085 IC_1590           no   0.8800  56.630 123.115  -6.245  0.015  0.105  0.230  -1.80  -1.82   0.50  -32.46    6.36     5     1     39    179   2400.  0.400 12.030  0.192  0.128 -0.020  6.895  0.000   1    1.11    0.16   14.60    2.45   17.34    2.18 COCD       99.999  9.990   0
0086 FSR_0521               0.8830  59.835 123.121  -3.039  0.015  0.060  0.125  -1.36  -0.18   0.36  999.99   99.99     0     5     36    122   2534.  0.562 12.200  0.270  0.180  0.020  9.210  0.053  11    1.70    0.44   12.04    3.13    3.44    0.43 DIAS irc   99.999  9.990   0
0087 ASCC_4                 0.8880  61.600 123.146  -1.274  0.025  0.085  0.210  -1.15  -0.63   0.54   -9.24    9.30     4     4     25    118    550.  0.250  8.782  0.120  0.080 -0.040  8.650  0.000  -1    0.54    0.15    2.91    0.75   26.38    4.73 COCD       99.999  9.990   0
0088 Alessi_1               0.8885  49.480 123.238 -13.394  0.050  0.175  0.425   6.13  -7.53   0.46    6.00    1.80     1     4     21     95    750.  0.100  9.407  0.048  0.032  0.000  8.840  0.000  -1    4.59    2.40    7.68    1.84    5.47    5.72 COCD       99.999  9.990   0
0089 FSR_0522               0.9000  65.797 123.190   2.923  0.020  0.055  0.105  -1.16   1.93   0.41  999.99   99.99     0     5     29     79   2094.  0.916 11.900  0.440  0.293 -0.010  8.550  0.000  -1    1.99    0.46    5.43    0.84    7.53    1.92 DIAS irc   99.999  9.990   0
0092 FSR_0524               0.9547  62.125 123.610  -0.742  0.010  0.060  0.110  -1.57  -0.07   0.30  999.99   99.99     0     4     46    101   1841.  0.541 11.499  0.260  0.173 -0.040  9.190  0.000  -1    0.74    0.15    7.04    1.58   16.83    2.44 FPOS       99.999  9.990   0
0093 ASCC_5                 0.9605  55.855 123.802  -7.010  0.030  0.100  0.190  -1.82  -3.15   0.44  -43.00    3.70     1     5     25     85    523.  0.021  8.599  0.010  0.007 -0.015  7.780  0.000  -1    0.21    0.15    3.01    2.54   16.26   10.55 COCD       99.999  9.990   0
0094 Skiff_J0058+68.4       0.9695  68.465 123.548   5.598  0.020  0.180  0.320  -1.83   0.79   0.14  999.99   99.99     0     8    261    598   2000.  0.650 11.714  0.312  0.208 -0.020  9.010  0.012  44    2.99    0.35   17.72    1.99    9.41    0.49 DIAS       99.999  9.990   0
0097 Berkeley_62            1.0185  63.935 123.990   1.080  0.018  0.075  0.160  -2.65   1.70   0.27  999.99   99.99     0     7     64    198   2000.  0.731 11.740  0.351  0.234  0.000  7.300  0.000  -1    1.30    0.25    8.91    1.73    8.65    1.01 DIAS var   99.999  9.990   0
